program,source,date,month,day_of_month,days_in_month,day_weight,pacing_pct_mtd,target_spend_day,target_spend_mtd,actual_spend_day,actual_spend_mtd,spend_var_pct_mtd,target_leads_day,target_leads_mtd,actual_leads_day,actual_leads_mtd,lead_var_pct_mtd,target_appointments_day,target_appointments_mtd,actual_appointments_day,actual_appointments_mtd,appointment_var_pct_mtd,target_demos_day,target_demos_mtd,actual_demos_day,actual_demos_mtd,demo_var_pct_mtd,target_enrollments_day,target_enrollments_mtd,actual_enrollments_day,actual_enrollments_mtd,enrollment_var_pct_mtd,target_cpl_month,target_cpl_mtd_implied,actual_cpl_mtd,cpl_var_pct_mtd,notes
Edge BSc (Healthcare),Google,2026-03-01,Mar 26,1,31,0.032258,0.032258,25335.48,25335.48,,,,39.7419,39.7419,,,,2.4839,2.4839,,,,0.9935,0.9935,,,,0.2981,0.2981,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-02,Mar 26,2,31,0.032258,0.064516,25335.48,50670.97,,,,39.7419,79.4839,,,,2.4839,4.9677,,,,0.9935,1.9871,,,,0.2981,0.5961,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-03,Mar 26,3,31,0.032258,0.096774,25335.48,76006.45,,,,39.7419,119.2258,,,,2.4839,7.4516,,,,0.9935,2.9806,,,,0.2981,0.8942,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-04,Mar 26,4,31,0.032258,0.129032,25335.48,101341.94,,,,39.7419,158.9677,,,,2.4839,9.9355,,,,0.9935,3.9742,,,,0.2981,1.1923,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-05,Mar 26,5,31,0.032258,0.16129,25335.48,126677.42,,,,39.7419,198.7097,,,,2.4839,12.4194,,,,0.9935,4.9677,,,,0.2981,1.4903,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-06,Mar 26,6,31,0.032258,0.193548,25335.48,152012.9,,,,39.7419,238.4516,,,,2.4839,14.9032,,,,0.9935,5.9613,,,,0.2981,1.7884,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-07,Mar 26,7,31,0.032258,0.225806,25335.48,177348.39,,,,39.7419,278.1935,,,,2.4839,17.3871,,,,0.9935,6.9548,,,,0.2981,2.0865,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-08,Mar 26,8,31,0.032258,0.258065,25335.48,202683.87,,,,39.7419,317.9355,,,,2.4839,19.871,,,,0.9935,7.9484,,,,0.2981,2.3845,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-09,Mar 26,9,31,0.032258,0.290323,25335.48,228019.35,,,,39.7419,357.6774,,,,2.4839,22.3548,,,,0.9935,8.9419,,,,0.2981,2.6826,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-10,Mar 26,10,31,0.032258,0.322581,25335.48,253354.84,,,,39.7419,397.4194,,,,2.4839,24.8387,,,,0.9935,9.9355,,,,0.2981,2.9806,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-11,Mar 26,11,31,0.032258,0.354839,25335.48,278690.32,,,,39.7419,437.1613,,,,2.4839,27.3226,,,,0.9935,10.929,,,,0.2981,3.2787,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-12,Mar 26,12,31,0.032258,0.387097,25335.48,304025.81,,,,39.7419,476.9032,,,,2.4839,29.8065,,,,0.9935,11.9226,,,,0.2981,3.5768,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-13,Mar 26,13,31,0.032258,0.419355,25335.48,329361.29,,,,39.7419,516.6452,,,,2.4839,32.2903,,,,0.9935,12.9161,,,,0.2981,3.8748,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-14,Mar 26,14,31,0.032258,0.451613,25335.48,354696.77,,,,39.7419,556.3871,,,,2.4839,34.7742,,,,0.9935,13.9097,,,,0.2981,4.1729,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-15,Mar 26,15,31,0.032258,0.483871,25335.48,380032.26,,,,39.7419,596.129,,,,2.4839,37.2581,,,,0.9935,14.9032,,,,0.2981,4.471,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-16,Mar 26,16,31,0.032258,0.516129,25335.48,405367.74,,,,39.7419,635.871,,,,2.4839,39.7419,,,,0.9935,15.8968,,,,0.2981,4.769,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-17,Mar 26,17,31,0.032258,0.548387,25335.48,430703.23,,,,39.7419,675.6129,,,,2.4839,42.2258,,,,0.9935,16.8903,,,,0.2981,5.0671,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-18,Mar 26,18,31,0.032258,0.580645,25335.48,456038.71,,,,39.7419,715.3548,,,,2.4839,44.7097,,,,0.9935,17.8839,,,,0.2981,5.3652,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-19,Mar 26,19,31,0.032258,0.612903,25335.48,481374.19,,,,39.7419,755.0968,,,,2.4839,47.1935,,,,0.9935,18.8774,,,,0.2981,5.6632,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-20,Mar 26,20,31,0.032258,0.645161,25335.48,506709.68,,,,39.7419,794.8387,,,,2.4839,49.6774,,,,0.9935,19.871,,,,0.2981,5.9613,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-21,Mar 26,21,31,0.032258,0.677419,25335.48,532045.16,,,,39.7419,834.5806,,,,2.4839,52.1613,,,,0.9935,20.8645,,,,0.2981,6.2594,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-22,Mar 26,22,31,0.032258,0.709677,25335.48,557380.65,,,,39.7419,874.3226,,,,2.4839,54.6452,,,,0.9935,21.8581,,,,0.2981,6.5574,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-23,Mar 26,23,31,0.032258,0.741935,25335.48,582716.13,,,,39.7419,914.0645,,,,2.4839,57.129,,,,0.9935,22.8516,,,,0.2981,6.8555,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-24,Mar 26,24,31,0.032258,0.774194,25335.48,608051.61,,,,39.7419,953.8065,,,,2.4839,59.6129,,,,0.9935,23.8452,,,,0.2981,7.1535,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-25,Mar 26,25,31,0.032258,0.806452,25335.48,633387.1,,,,39.7419,993.5484,,,,2.4839,62.0968,,,,0.9935,24.8387,,,,0.2981,7.4516,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-26,Mar 26,26,31,0.032258,0.83871,25335.48,658722.58,,,,39.7419,1033.2903,,,,2.4839,64.5806,,,,0.9935,25.8323,,,,0.2981,7.7497,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-27,Mar 26,27,31,0.032258,0.870968,25335.48,684058.06,,,,39.7419,1073.0323,,,,2.4839,67.0645,,,,0.9935,26.8258,,,,0.2981,8.0477,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-28,Mar 26,28,31,0.032258,0.903226,25335.48,709393.55,,,,39.7419,1112.7742,,,,2.4839,69.5484,,,,0.9935,27.8194,,,,0.2981,8.3458,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-29,Mar 26,29,31,0.032258,0.935484,25335.48,734729.03,,,,39.7419,1152.5161,,,,2.4839,72.0323,,,,0.9935,28.8129,,,,0.2981,8.6439,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-30,Mar 26,30,31,0.032258,0.967742,25335.48,760064.52,,,,39.7419,1192.2581,,,,2.4839,74.5161,,,,0.9935,29.8065,,,,0.2981,8.9419,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-31,Mar 26,31,31,0.032258,1.0,25335.48,785400.0,,,,39.7419,1232.0,,,,2.4839,77.0,,,,0.9935,30.8,,,,0.2981,9.24,,,,637.5,637.5,,,
Edge BSc (Healthcare),Meta,2026-03-01,Mar 26,1,31,0.032258,0.032258,25335.48,25335.48,,,,59.6129,59.6129,,,,2.4839,2.4839,,,,0.9935,0.9935,,,,0.2981,0.2981,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-02,Mar 26,2,31,0.032258,0.064516,25335.48,50670.97,,,,59.6129,119.2258,,,,2.4839,4.9677,,,,0.9935,1.9871,,,,0.2981,0.5961,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-03,Mar 26,3,31,0.032258,0.096774,25335.48,76006.45,,,,59.6129,178.8387,,,,2.4839,7.4516,,,,0.9935,2.9806,,,,0.2981,0.8942,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-04,Mar 26,4,31,0.032258,0.129032,25335.48,101341.94,,,,59.6129,238.4516,,,,2.4839,9.9355,,,,0.9935,3.9742,,,,0.2981,1.1923,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-05,Mar 26,5,31,0.032258,0.16129,25335.48,126677.42,,,,59.6129,298.0645,,,,2.4839,12.4194,,,,0.9935,4.9677,,,,0.2981,1.4903,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-06,Mar 26,6,31,0.032258,0.193548,25335.48,152012.9,,,,59.6129,357.6774,,,,2.4839,14.9032,,,,0.9935,5.9613,,,,0.2981,1.7884,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-07,Mar 26,7,31,0.032258,0.225806,25335.48,177348.39,,,,59.6129,417.2903,,,,2.4839,17.3871,,,,0.9935,6.9548,,,,0.2981,2.0865,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-08,Mar 26,8,31,0.032258,0.258065,25335.48,202683.87,,,,59.6129,476.9032,,,,2.4839,19.871,,,,0.9935,7.9484,,,,0.2981,2.3845,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-09,Mar 26,9,31,0.032258,0.290323,25335.48,228019.35,,,,59.6129,536.5161,,,,2.4839,22.3548,,,,0.9935,8.9419,,,,0.2981,2.6826,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-10,Mar 26,10,31,0.032258,0.322581,25335.48,253354.84,,,,59.6129,596.129,,,,2.4839,24.8387,,,,0.9935,9.9355,,,,0.2981,2.9806,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-11,Mar 26,11,31,0.032258,0.354839,25335.48,278690.32,,,,59.6129,655.7419,,,,2.4839,27.3226,,,,0.9935,10.929,,,,0.2981,3.2787,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-12,Mar 26,12,31,0.032258,0.387097,25335.48,304025.81,,,,59.6129,715.3548,,,,2.4839,29.8065,,,,0.9935,11.9226,,,,0.2981,3.5768,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-13,Mar 26,13,31,0.032258,0.419355,25335.48,329361.29,,,,59.6129,774.9677,,,,2.4839,32.2903,,,,0.9935,12.9161,,,,0.2981,3.8748,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-14,Mar 26,14,31,0.032258,0.451613,25335.48,354696.77,,,,59.6129,834.5806,,,,2.4839,34.7742,,,,0.9935,13.9097,,,,0.2981,4.1729,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-15,Mar 26,15,31,0.032258,0.483871,25335.48,380032.26,,,,59.6129,894.1935,,,,2.4839,37.2581,,,,0.9935,14.9032,,,,0.2981,4.471,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-16,Mar 26,16,31,0.032258,0.516129,25335.48,405367.74,,,,59.6129,953.8065,,,,2.4839,39.7419,,,,0.9935,15.8968,,,,0.2981,4.769,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-17,Mar 26,17,31,0.032258,0.548387,25335.48,430703.23,,,,59.6129,1013.4194,,,,2.4839,42.2258,,,,0.9935,16.8903,,,,0.2981,5.0671,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-18,Mar 26,18,31,0.032258,0.580645,25335.48,456038.71,,,,59.6129,1073.0323,,,,2.4839,44.7097,,,,0.9935,17.8839,,,,0.2981,5.3652,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-19,Mar 26,19,31,0.032258,0.612903,25335.48,481374.19,,,,59.6129,1132.6452,,,,2.4839,47.1935,,,,0.9935,18.8774,,,,0.2981,5.6632,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-20,Mar 26,20,31,0.032258,0.645161,25335.48,506709.68,,,,59.6129,1192.2581,,,,2.4839,49.6774,,,,0.9935,19.871,,,,0.2981,5.9613,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-21,Mar 26,21,31,0.032258,0.677419,25335.48,532045.16,,,,59.6129,1251.871,,,,2.4839,52.1613,,,,0.9935,20.8645,,,,0.2981,6.2594,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-22,Mar 26,22,31,0.032258,0.709677,25335.48,557380.65,,,,59.6129,1311.4839,,,,2.4839,54.6452,,,,0.9935,21.8581,,,,0.2981,6.5574,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-23,Mar 26,23,31,0.032258,0.741935,25335.48,582716.13,,,,59.6129,1371.0968,,,,2.4839,57.129,,,,0.9935,22.8516,,,,0.2981,6.8555,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-24,Mar 26,24,31,0.032258,0.774194,25335.48,608051.61,,,,59.6129,1430.7097,,,,2.4839,59.6129,,,,0.9935,23.8452,,,,0.2981,7.1535,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-25,Mar 26,25,31,0.032258,0.806452,25335.48,633387.1,,,,59.6129,1490.3226,,,,2.4839,62.0968,,,,0.9935,24.8387,,,,0.2981,7.4516,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-26,Mar 26,26,31,0.032258,0.83871,25335.48,658722.58,,,,59.6129,1549.9355,,,,2.4839,64.5806,,,,0.9935,25.8323,,,,0.2981,7.7497,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-27,Mar 26,27,31,0.032258,0.870968,25335.48,684058.06,,,,59.6129,1609.5484,,,,2.4839,67.0645,,,,0.9935,26.8258,,,,0.2981,8.0477,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-28,Mar 26,28,31,0.032258,0.903226,25335.48,709393.55,,,,59.6129,1669.1613,,,,2.4839,69.5484,,,,0.9935,27.8194,,,,0.2981,8.3458,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-29,Mar 26,29,31,0.032258,0.935484,25335.48,734729.03,,,,59.6129,1728.7742,,,,2.4839,72.0323,,,,0.9935,28.8129,,,,0.2981,8.6439,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-30,Mar 26,30,31,0.032258,0.967742,25335.48,760064.52,,,,59.6129,1788.3871,,,,2.4839,74.5161,,,,0.9935,29.8065,,,,0.2981,8.9419,,,,425.0,425.0,,,
Edge BSc (Healthcare),Meta,2026-03-31,Mar 26,31,31,0.032258,1.0,25335.48,785400.0,,,,59.6129,1848.0,,,,2.4839,77.0,,,,0.9935,30.8,,,,0.2981,9.24,,,,425.0,425.0,,,
Smart Hosp (BVoc),Google,2026-03-01,Mar 26,1,31,0.032258,0.032258,37109.66,37109.66,,,,65.9726,65.9726,,,,4.1232,4.1232,,,,1.6494,1.6494,,,,0.4948,0.4948,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-02,Mar 26,2,31,0.032258,0.064516,37109.66,74219.32,,,,65.9726,131.9452,,,,4.1232,8.2465,,,,1.6494,3.2987,,,,0.4948,0.9897,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-03,Mar 26,3,31,0.032258,0.096774,37109.66,111328.99,,,,65.9726,197.9177,,,,4.1232,12.3697,,,,1.6494,4.9481,,,,0.4948,1.4845,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-04,Mar 26,4,31,0.032258,0.129032,37109.66,148438.65,,,,65.9726,263.8903,,,,4.1232,16.4929,,,,1.6494,6.5974,,,,0.4948,1.9794,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-05,Mar 26,5,31,0.032258,0.16129,37109.66,185548.31,,,,65.9726,329.8629,,,,4.1232,20.6161,,,,1.6494,8.2468,,,,0.4948,2.4742,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-06,Mar 26,6,31,0.032258,0.193548,37109.66,222657.97,,,,65.9726,395.8355,,,,4.1232,24.7394,,,,1.6494,9.8961,,,,0.4948,2.969,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-07,Mar 26,7,31,0.032258,0.225806,37109.66,259767.64,,,,65.9726,461.8081,,,,4.1232,28.8626,,,,1.6494,11.5455,,,,0.4948,3.4639,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-08,Mar 26,8,31,0.032258,0.258065,37109.66,296877.3,,,,65.9726,527.7806,,,,4.1232,32.9858,,,,1.6494,13.1948,,,,0.4948,3.9587,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-09,Mar 26,9,31,0.032258,0.290323,37109.66,333986.96,,,,65.9726,593.7532,,,,4.1232,37.109,,,,1.6494,14.8442,,,,0.4948,4.4535,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-10,Mar 26,10,31,0.032258,0.322581,37109.66,371096.62,,,,65.9726,659.7258,,,,4.1232,41.2323,,,,1.6494,16.4935,,,,0.4948,4.9484,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-11,Mar 26,11,31,0.032258,0.354839,37109.66,408206.28,,,,65.9726,725.6984,,,,4.1232,45.3555,,,,1.6494,18.1429,,,,0.4948,5.4432,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-12,Mar 26,12,31,0.032258,0.387097,37109.66,445315.95,,,,65.9726,791.671,,,,4.1232,49.4787,,,,1.6494,19.7923,,,,0.4948,5.9381,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-13,Mar 26,13,31,0.032258,0.419355,37109.66,482425.61,,,,65.9726,857.6435,,,,4.1232,53.6019,,,,1.6494,21.4416,,,,0.4948,6.4329,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-14,Mar 26,14,31,0.032258,0.451613,37109.66,519535.27,,,,65.9726,923.6161,,,,4.1232,57.7252,,,,1.6494,23.091,,,,0.4948,6.9277,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-15,Mar 26,15,31,0.032258,0.483871,37109.66,556644.93,,,,65.9726,989.5887,,,,4.1232,61.8484,,,,1.6494,24.7403,,,,0.4948,7.4226,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-16,Mar 26,16,31,0.032258,0.516129,37109.66,593754.6,,,,65.9726,1055.5613,,,,4.1232,65.9716,,,,1.6494,26.3897,,,,0.4948,7.9174,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-17,Mar 26,17,31,0.032258,0.548387,37109.66,630864.26,,,,65.9726,1121.5339,,,,4.1232,70.0948,,,,1.6494,28.039,,,,0.4948,8.4123,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-18,Mar 26,18,31,0.032258,0.580645,37109.66,667973.92,,,,65.9726,1187.5065,,,,4.1232,74.2181,,,,1.6494,29.6884,,,,0.4948,8.9071,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-19,Mar 26,19,31,0.032258,0.612903,37109.66,705083.58,,,,65.9726,1253.479,,,,4.1232,78.3413,,,,1.6494,31.3377,,,,0.4948,9.4019,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-20,Mar 26,20,31,0.032258,0.645161,37109.66,742193.25,,,,65.9726,1319.4516,,,,4.1232,82.4645,,,,1.6494,32.9871,,,,0.4948,9.8968,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-21,Mar 26,21,31,0.032258,0.677419,37109.66,779302.91,,,,65.9726,1385.4242,,,,4.1232,86.5877,,,,1.6494,34.6365,,,,0.4948,10.3916,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-22,Mar 26,22,31,0.032258,0.709677,37109.66,816412.57,,,,65.9726,1451.3968,,,,4.1232,90.711,,,,1.6494,36.2858,,,,0.4948,10.8865,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-23,Mar 26,23,31,0.032258,0.741935,37109.66,853522.23,,,,65.9726,1517.3694,,,,4.1232,94.8342,,,,1.6494,37.9352,,,,0.4948,11.3813,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-24,Mar 26,24,31,0.032258,0.774194,37109.66,890631.89,,,,65.9726,1583.3419,,,,4.1232,98.9574,,,,1.6494,39.5845,,,,0.4948,11.8761,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-25,Mar 26,25,31,0.032258,0.806452,37109.66,927741.56,,,,65.9726,1649.3145,,,,4.1232,103.0806,,,,1.6494,41.2339,,,,0.4948,12.371,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-26,Mar 26,26,31,0.032258,0.83871,37109.66,964851.22,,,,65.9726,1715.2871,,,,4.1232,107.2039,,,,1.6494,42.8832,,,,0.4948,12.8658,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-27,Mar 26,27,31,0.032258,0.870968,37109.66,1001960.88,,,,65.9726,1781.2597,,,,4.1232,111.3271,,,,1.6494,44.5326,,,,0.4948,13.3606,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-28,Mar 26,28,31,0.032258,0.903226,37109.66,1039070.54,,,,65.9726,1847.2323,,,,4.1232,115.4503,,,,1.6494,46.1819,,,,0.4948,13.8555,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-29,Mar 26,29,31,0.032258,0.935484,37109.66,1076180.21,,,,65.9726,1913.2048,,,,4.1232,119.5735,,,,1.6494,47.8313,,,,0.4948,14.3503,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-30,Mar 26,30,31,0.032258,0.967742,37109.66,1113289.87,,,,65.9726,1979.1774,,,,4.1232,123.6968,,,,1.6494,49.4806,,,,0.4948,14.8452,,,,562.5,562.5,,,
Smart Hosp (BVoc),Google,2026-03-31,Mar 26,31,31,0.032258,1.0,37109.66,1150399.53,,,,65.9726,2045.15,,,,4.1232,127.82,,,,1.6494,51.13,,,,0.4948,15.34,,,,562.5,562.5,,,
Smart Hosp (BVoc),Meta,2026-03-01,Mar 26,1,31,0.032258,0.032258,37109.66,37109.66,,,,98.959,98.959,,,,4.1232,4.1232,,,,1.6494,1.6494,,,,0.4948,0.4948,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-02,Mar 26,2,31,0.032258,0.064516,37109.66,74219.32,,,,98.959,197.9181,,,,4.1232,8.2465,,,,1.6494,3.2987,,,,0.4948,0.9897,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-03,Mar 26,3,31,0.032258,0.096774,37109.66,111328.99,,,,98.959,296.8771,,,,4.1232,12.3697,,,,1.6494,4.9481,,,,0.4948,1.4845,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-04,Mar 26,4,31,0.032258,0.129032,37109.66,148438.65,,,,98.959,395.8361,,,,4.1232,16.4929,,,,1.6494,6.5974,,,,0.4948,1.9794,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-05,Mar 26,5,31,0.032258,0.16129,37109.66,185548.31,,,,98.959,494.7952,,,,4.1232,20.6161,,,,1.6494,8.2468,,,,0.4948,2.4742,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-06,Mar 26,6,31,0.032258,0.193548,37109.66,222657.97,,,,98.959,593.7542,,,,4.1232,24.7394,,,,1.6494,9.8961,,,,0.4948,2.969,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-07,Mar 26,7,31,0.032258,0.225806,37109.66,259767.64,,,,98.959,692.7132,,,,4.1232,28.8626,,,,1.6494,11.5455,,,,0.4948,3.4639,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-08,Mar 26,8,31,0.032258,0.258065,37109.66,296877.3,,,,98.959,791.6723,,,,4.1232,32.9858,,,,1.6494,13.1948,,,,0.4948,3.9587,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-09,Mar 26,9,31,0.032258,0.290323,37109.66,333986.96,,,,98.959,890.6313,,,,4.1232,37.109,,,,1.6494,14.8442,,,,0.4948,4.4535,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-10,Mar 26,10,31,0.032258,0.322581,37109.66,371096.62,,,,98.959,989.5903,,,,4.1232,41.2323,,,,1.6494,16.4935,,,,0.4948,4.9484,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-11,Mar 26,11,31,0.032258,0.354839,37109.66,408206.28,,,,98.959,1088.5494,,,,4.1232,45.3555,,,,1.6494,18.1429,,,,0.4948,5.4432,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-12,Mar 26,12,31,0.032258,0.387097,37109.66,445315.95,,,,98.959,1187.5084,,,,4.1232,49.4787,,,,1.6494,19.7923,,,,0.4948,5.9381,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-13,Mar 26,13,31,0.032258,0.419355,37109.66,482425.61,,,,98.959,1286.4674,,,,4.1232,53.6019,,,,1.6494,21.4416,,,,0.4948,6.4329,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-14,Mar 26,14,31,0.032258,0.451613,37109.66,519535.27,,,,98.959,1385.4265,,,,4.1232,57.7252,,,,1.6494,23.091,,,,0.4948,6.9277,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-15,Mar 26,15,31,0.032258,0.483871,37109.66,556644.93,,,,98.959,1484.3855,,,,4.1232,61.8484,,,,1.6494,24.7403,,,,0.4948,7.4226,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-16,Mar 26,16,31,0.032258,0.516129,37109.66,593754.6,,,,98.959,1583.3445,,,,4.1232,65.9716,,,,1.6494,26.3897,,,,0.4948,7.9174,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-17,Mar 26,17,31,0.032258,0.548387,37109.66,630864.26,,,,98.959,1682.3035,,,,4.1232,70.0948,,,,1.6494,28.039,,,,0.4948,8.4123,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-18,Mar 26,18,31,0.032258,0.580645,37109.66,667973.92,,,,98.959,1781.2626,,,,4.1232,74.2181,,,,1.6494,29.6884,,,,0.4948,8.9071,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-19,Mar 26,19,31,0.032258,0.612903,37109.66,705083.58,,,,98.959,1880.2216,,,,4.1232,78.3413,,,,1.6494,31.3377,,,,0.4948,9.4019,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-20,Mar 26,20,31,0.032258,0.645161,37109.66,742193.25,,,,98.959,1979.1806,,,,4.1232,82.4645,,,,1.6494,32.9871,,,,0.4948,9.8968,,,,375.0,375.0,,,
Smart Hosp (BVoc),Meta,2026-03-21,Mar 26,21,31,0.032258,0.677419,37109.66,779302.91,,,,98.959,2078.1397,,,,4.1232,86.5877,,,,1.6494,34.6365,,,,0.4948,10.3916,,,,375.0,375.0,,,
